aah	a cry of delight
acknowledged	recognized or admitted as true
acknowledgement	a statement recognizing something
acknowledgment	a statement recognizing something
acme	the highest point of achievement
acne	a skin condition causing pimples
acolyte	a devoted follower or assistant
acorn	an oak nut
acoustic	relating to sound or hearing
acoustical	relating to sound
acoustically	related to sound
acoustics	sound qualities of a space
acquaint	to make familiar with something
acquaintance	a person one knows slightly
acquainted	familiar with something
acquiesce	to agree without protest
acquiescence	quiet agreement without protest
acquire	to get or obtain something
acquirer	an obtainer of something
acquiring	getting or obtaining something
acquisition	something that has been obtained
acquisitive	eager to gain more possessions
acquit	to declare someone not guilty
acquittal	a not-guilty verdict
acquitted	declared not guilty
acre	a unit of land area
acreage	land area size
acres	units of land area
acrid	having a harsh, bitter smell
acrimonious	angry and bitter in tone
acrimony	bitterness and anger
acrobat	a daring performer
acrobatic	involving skillful and daring movement
acrobatics	skillful and daring physical stunts
acronym	a word from initials
acropolis	a fortified hilltop city
acrostic	a first-letter spelling poem
acrylamide	a chemical used in industry
acrylate	a plastic-making chemical
acrylic	a synthetic material or paint
acrylonitrile	a plastic-making chemical
actin	a muscle protein
actionable	able to be acted upon
activate	to make something start working
activated	made to start working
activating	causing something to start working
activation	the process of starting something
activator	something that starts a process
actively	energetically
activewear	clothing worn for exercise
activism	work for social change
activist	promoting social or political change
actuality	the real state of things
actualization	making something real
actualize	to make something become real
actuarial	relating to statistical risk calculation
actuary	a financial risk calculator
actuate	to move a mechanism
actuated	caused to move or start
actuation	the process of causing movement
actuator	a device that causes movement
acuity	sharpness of thought or sense
acumen	sharp judgment and understanding
acupressure	pressure-point healing
acupuncture	needle healing
acute	sudden and severe
acutely	very sharply or intensely
acyclic	not forming a closed loop
acyclovir	a medicine used against viruses
acyl	an organic chemical group
adage	a wise old saying
adagio	played slowly in music
adamant	firmly unyielding
adamantine	extremely hard and unyielding
adamantly	in a firmly determined way
adapt	to adjust to conditions
adaptability	ability to adjust
adaptable	able to adjust
adaptation	a fitting change
adapted	changed to suit new conditions
adapter	a connecting device
adaption	a fitting change
adaptive	able to adjust
adaptor	a connecting device
addendum	an added section
adder	a small poisonous snake
addict	a habit-bound person
addicted	unable to stop a habit
addiction	being unable to stop a habit
addictive	hard to stop, habit-forming
additionally	as an extra point
additive	a substance added to something
addled	confused
addressable	able to be reached
addressed	dealt with or spoken to
addressee	a letter's recipient
adduct	a combined compound
adductor	an inward-pulling muscle
ade	a sweetened fruit drink
adenine	a building block of dna
adenocarcinoma	a cancer of glandular tissue
adenoma	a benign gland growth
adenosine	a cell compound
adenovirus	a cold-causing virus
adept	very skilled at something
adequacy	the state of being enough
adequate	enough for what is needed
adequately	sufficiently
adhere	to stick firmly
adherence	sticking to a rule
adherent	a firm supporter
adhesion	sticking together
adhesive	sticky
adiabatic	occurring without heat exchange
adieu	a farewell
adios	a farewell
adipose	relating to body fat
adit	a mine entrance
adjacency	being next to something
adjacent	next to or touching something
adjectival	acting like a describing word
adjective	a noun-describing word
adjourn	to pause a meeting
adjournment	a pause in proceedings
adjudicate	to make an official judgment
adjudication	an official judgment or decision
adjudicator	an official judge
adjunct	added as an extra
adjunctive	helping the main treatment
adjust	to change slightly
adjustable	changeable to fit
adjusted	changed slightly to fit better
adjuster	an insurance claim settler
adjustment	a small fitting change
adjutant	a military officer's assistant
adjuvant	helping a main treatment
administer	to manage and carry out
administratively	related to management
administrator	an organization manager
admirable	deserving respect and approval
admirably	in a way deserving respect
admiral	a high-ranking naval officer
admiralty	the authority governing naval matters
admiration	a feeling of great respect
admire	to regard someone with respect
admired	regarded with great respect
admirer	a respectful fan
admiringly	respectfully
admissibility	whether allowed as evidence
admissible	allowed to be accepted
admission	acceptance into a group
admittance	permission to enter
admittedly	as must be honestly acknowledged
admixture	a mixture of different things
admonish	to gently scold someone
admonishing	gently scolding someone
admonishment	a gentle scolding
admonition	a gentle warning or scolding
ado	fuss or bother
adobe	a sun-dried clay brick
adobo	a spicy marinade or sauce
adolescence	growing into adulthood
adolescent	a young growing person
adonis	a very handsome young man
adopt	to take on as one's own
adoptable	able to be taken in
adoptee	an adopted person
adopter	one who takes something up
adoption	taking a child as one's own
adoptive	related through adoption
adorable	very sweet and lovable
adorably	very sweetly
adoration	deep love and admiration
adore	to love someone deeply
adored	loved deeply
adoring	showing deep love and admiration
adorn	to decorate something
adorned	decorated with ornaments
adornment	a decoration added to something
adrenal	relating to kidney-top glands
adrenaline	a body-speeding hormone
adrenergic	relating to adrenaline's effects
adrift	floating without control
adroit	skillful and clever
adroitly	in a skillful way
adsorbent	sticking particles to itself
adsorption	sticking to a surface
adulation	excessive praise and admiration
adulterated	made impure by adding something
adulteration	making something impure
adulterer	a married person who cheats
adulteress	a married woman who cheats
adulterous	involving cheating on a spouse
adultery	cheating on one's spouse
adulthood	being an adult
adulting	doing responsible adult tasks
advancement	forward progress or promotion
advancing	moving forward
advantageous	giving a benefit or edge
advantageously	in a beneficial way
advent	the arrival of something important
adventurer	someone who seeks exciting experiences
adventurous	willing to take risks
adverb	a word describing an action
adverbial	relating to describing an action
adversary	an opponent or enemy
adverse	harmful or unfavorable
adversely	in a harmful way
adversity	great difficulty or hardship
advert	a short advertisement
advertise	to promote something publicly
advertised	publicly promoted
advertisement	a public promotion of something
advertiser	someone who promotes products
advisable	sensible and worth doing
advise	to give guidance or suggestions
advised	given guidance or warning
advisement	careful consideration
adviser	someone who gives guidance
advisor	someone who gives guidance
advisory	giving guidance or warning
advocacy	public support for a cause
advocate	a cause supporter
aegis	protection or support
aeon	an extremely long time
aerated	filled with air or gas
aeration	adding air into something
aerial	relating to the sky
aerie	a nest built high up
aerobatics	stunt flying in an aircraft
aerobic	needing oxygen to work
aerobics	energetic exercise for fitness
aerodrome	a small airport
aerodynamic	shaped for smooth airflow
aerodynamics	the study of airflow
aeronautical	relating to aircraft flight
aeronautics	the science of aircraft flight
aeroplane	a flying vehicle with wings
aerosol	a spray-mist can
aerospace	relating to aircraft and spacecraft
aesthetic	relating to beauty
aesthetically	in a visually pleasing way
aesthetics	the study of beauty
aether	the clear upper sky
afar	from a great distance
affable	friendly and easy to talk to
affaire	a secret romantic relationship
affectation	an unnatural way of behaving
affecting	causing strong emotion
affection	fond and tender feelings
affectionate	showing warm fondness
affectionately	in a loving way
affective	relating to emotions
afferent	carrying signals toward a center
affidavit	a written sworn statement
affiliate	a connected organization or member
affiliated	officially connected with a group
affiliation	an official connection
affine	closely related or similar
affinity	a natural liking or connection
affirm	to state firmly
affirmation	a firm true statement
affirmative	agreeing or saying yes
affirmatively	saying yes
affix	a word-ending addition
affixed	attached firmly
afflict	to cause suffering to
afflicted	suffering from illness
affliction	a cause of great suffering
affluence	great wealth
affluent	having a lot of money
affordable	reasonably priced
afforestation	planting new forests
affray	a noisy public fight
affront	an open insult
afghan	a knitted blanket
afghani	the currency of afghanistan
aficionado	a devoted fan of something
afield	far from home
afire	on fire
aflame	burning brightly
afloat	staying on top of water
afoot	happening or in progress
aforementioned	mentioned earlier
aforesaid	said or named before
afoul	in trouble with something
afresh	starting again, anew
aft	toward a ship's back
afterbirth	tissue expelled after childbirth
afterburner	a jet power booster
aftercare	care given after treatment
afterglow	soft light after sunset
afterlife	life after death
aftermath	the result following a bad event
afters	dessert after a meal
aftershock	a smaller following earthquake
aftertaste	a taste left after eating
afterthought	something added later, not planned
afterward	at a later time
agape	wide open in surprise
agar	a bacteria-growing jelly
agate	a colorful banded stone
agave	a spiky desert plant
ageing	growing older
ageism	unfair treatment based on age
ageless	never seeming to grow old
agglomeration	a clustered mass
aggrandizement	making oneself seem more important
aggravate	to make a problem worse
aggravated	made worse or more serious
aggravating	making something worse or annoying
aggravation	something that makes things worse
aggregate	combined into a total
aggregated	gathered into one whole
aggregation	a collection gathered together
aggregator	something that collects and combines
aggression	hostile or forceful behavior
aggressively	in a forceful, hostile way
aggressiveness	forceful, hostile behavior
aggressor	the one who attacks first
aggro	aggressive trouble or hostility
aghast	shocked and horrified
agile	quick and nimble
agility	the ability to move quickly
aging	growing older
agitate	to stir up or upset
agitated	nervous and upset
agitating	causing worry or unrest
agitation	a state of nervous unrest
agitator	someone who stirs up trouble
agitprop	propaganda promoting a political cause
aglow	shining softly
agnostic	unsure whether god exists
agnosticism	belief god's existence is unknown
agog	very eager and curious
agon	a contest or struggle
agonising	causing great pain or worry
agonist	an effect-producing muscle or drug
agonize	to worry intensely
agonized	full of great worry
agonizing	causing intense pain or worry
agonizingly	in an intensely painful way
agony	extreme pain or suffering
agora	an ancient public marketplace
agoraphobia	fear of open spaces
agoraphobic	afraid of open spaces
agrarian	relating to farming and land
agreeable	pleasant to get along with
agreeableness	the quality of being pleasant
agreeably	in a pleasant way
agribusiness	large-scale farming as a business
agronomic	relating to farming science
agronomist	a scientist who studies farming
agronomy	the science of farming
aground	stuck in shallow water
agua	water
ahem	an attention-getting sound
ahimsa	the principle of nonviolence
ahistorical	ignoring historical context
aide	a helper or assistant
aided	helped or assisted
aikido	a japanese martial art
ail	an illness or complaint
aileron	a wing control flap
ailing	sick or unwell
ailment	a minor illness
aimless	without any clear purpose
aimlessly	without any clear purpose
ain	own, belonging to oneself
aioli	a garlic mayonnaise sauce
airborne	carried through the air
airbrush	a fine paint sprayer
airbus	a large passenger aircraft
aircrew	the staff operating an aircraft
airdrop	supplies dropped from a plane
aired	broadcast on television or radio
airfare	a plane ticket cost
airfield	a plane takeoff place
airflow	the movement of air
airfoil	a wing-shaped surface for lift
airforce	a country's military air branch
airframe	an aircraft's body structure
airhead	a foolish, empty-headed person
airing	broadcasting on television or radio
airless	stuffy, without fresh air
airlift	transporting supplies by aircraft
airline	a company that flies passengers
airliner	a large passenger aircraft
airlock	a pressure-sealed chamber
airmail	mail sent by aircraft
airman	an air force member
airplane	a flying vehicle with wings
airs	a false, snobbish manner
airship	a large steerable balloon aircraft
airspace	the sky above a country
airspeed	an aircraft's air speed
airstream	a current of moving air
airstrip	a runway for small aircraft
airtight	sealed so no air escapes
airway	a passage for breathing air
airworthiness	being fit to fly
airy	light and breezy
aisle	a walkway between seats
ajar	slightly open
akimbo	hands on hips, elbows out
akin	similar in nature
ala	a wing-shaped part
alabaster	a smooth white stone
alacrity	eager and cheerful readiness
alanine	a basic protein building block
alarm	a warning of danger
alarmed	worried by sudden danger
alarming	causing worry or fear
alarmingly	in a worrying way
alarmist	someone who exaggerates dangers
alas	an expression of regret
alb	a long white robe
albacore	a type of tuna fish
albatross	a large seabird
albedo	surface reflecting brightness
albinism	a condition with no pigment
albino	lacking normal skin coloring
albumen	an egg's white part
albumin	a blood and egg protein
albuterol	a medicine for breathing problems
alcalde	a spanish town mayor
alcazar	a spanish palace or fortress
alchemical	relating to old chemical magic
alchemist	an early chemistry practitioner
alchemy	old magical chemistry
alcoholic	containing or dependent on alcohol
alcoholism	addiction to drinking alcohol
alcove	a small recessed space
aldehyde	a type of chemical compound
alder	a water-loving tree
alderman	an elected local town official
aldosterone	a salt-regulating hormone
ale	a type of beer
aleph	the first hebrew letter
alerting	warning someone of danger
alertness	being watchful and ready
alexia	loss of reading ability
alfalfa	an animal-feed plant
alfresco	taking place outdoors
alga	a simple water plant
algae	simple water plants
algal	relating to algae
algebra	math using letters for numbers
algebraic	relating to algebra
algebraically	using algebra methods
algorithm	a problem-solving procedure
algorithmic	following a set of steps
alias	a false or alternative name
alibi	proof of being elsewhere
alien	strange and unfamiliar
alienate	to make someone feel unwelcome
alienated	made to feel isolated
alienating	making someone feel isolated
alienation	the feeling of being isolated
alight	on fire or lit up
align	to arrange in a line
aligned	arranged in proper order
aligning	arranging into proper order
alignment	proper arrangement in a line
alike	similar to one another
alimentary	relating to digestion
alimony	payment to a former spouse
aline	to arrange in a line
aliphatic	a straight-chain carbon type
aliyah	moving to live in israel
alkali	a substance that neutralizes acid
alkaline	having properties opposite to acid
alkalinity	the level of being alkaline
alkaloid	a body-affecting plant chemical
alkyl	a type of chemical group
allay	to calm a fear
allegation	a claim made without proof
allege	to claim without proof
allegedly	said, but unproven
allegiance	loyalty to a cause
allegiant	loyal and faithful
allegorical	using symbols to represent ideas
allegory	a symbolic story
allegro	played at a fast tempo
allele	a version of a gene
allelic	relating to gene versions
allergen	something that causes an allergy
allergenic	likely to cause an allergy
allergic	reacting badly to something
allergist	a doctor who treats allergies
allergy	a bad reaction to a substance
alleviate	to ease pain
alleviated	made less severe
alleviation	the easing of trouble
alley	a narrow street between buildings
alleyway	a narrow passage between buildings
allgood	a common wild plant
allied	joined for a purpose
allies	partners in a cause
alligator	a strong-jawed reptile
allis	a type of herring fish
alliteration	repeating starting sounds in words
alliterative	using repeated starting sounds
allocate	to set aside for a use
allocation	something set aside
allogeneic	from a genetically different donor
allograft	tissue transplanted from another person
allopathic	relating to standard medical treatment
allot	to give a portion
allotment	a given portion
allotted	given as a set share
allover	covering the entire surface
allowable	permitted or acceptable
allowance	a set amount given regularly
alloy	a mixture of metals
alloyed	mixed with another metal
allspice	a spice with mixed flavors
allude	to refer to something indirectly
allure	a strong, attractive appeal
alluring	very attractive and tempting
allusion	an indirect reference to something
allusive	referring to things indirectly
alluvial	made of water-deposited soil
alluvium	water-deposited soil
ally	a partner who supports you
allyl	a type of chemical group
almanac	a yearly facts book
almighty	having complete power
almond	an oval edible nut
alms	charity for the poor
aloe	a plant with soothing gel
aloft	high up in the air
aloha	a hawaiian greeting
aloof	distant and unfriendly
aloofness	a distant, unfriendly manner
alopecia	loss of hair
aloud	spoken audibly
alp	a high mountain
alpaca	a woolly south american animal
alpha	the first or highest ranking
alphabet	a language's letter set
alphabetic	arranged by letters
alphabetical	arranged in letter order
alphabetically	in letter order
alphabetized	arranged in letter order
alphanumeric	made of letters and numbers
alpine	relating to high mountains
alprazolam	a medicine for anxiety
alsatian	a large german shepherd dog
altar	a religious ceremony table
altarpiece	church art behind an altar
altcoin	a non-bitcoin digital currency
alter	to change something
alteration	a change made to something
altercation	a heated argument or fight
altered	changed from its original form
altering	changing something
alternate	occurring by turns
alternately	taking turns
alternating	switching back and forth
alternation	switching back and forth repeatedly
alternatively	as another option
alternator	an electricity generator
althea	a flowering plant, hollyhock
altimeter	a device measuring altitude
altitude	height above sea level
alto	a low female singing voice
altogether	the total, complete amount
altruism	unselfish concern for others
altruistic	unselfishly caring for others
alum	a cleaning mineral salt
alumina	an aluminum-oxygen compound
aluminium	a lightweight silvery metal
aluminum	a lightweight silvery metal
alumna	a female graduate
alumnus	a graduate of a school
alveolar	relating to tiny lung sacs
amalgam	a mixture of different things
amalgamate	to combine into one whole
amalgamated	combined into one whole
amalgamation	combining into one
amaranth	an edible grain plant
amaretto	an almond-flavored liqueur
amaryllis	a large trumpet-shaped flower
amass	to gather a large amount
amateur	done for fun, not pay
amateurish	poorly done, unskilled
amateurism	lack of professional skill
amaze	to surprise greatly
amazed	filled with wonder
amazement	a feeling of great surprise
amazingly	in a surprising way
ambassadorial	relating to a diplomat
ambassadorship	the role of a diplomat
amber	yellowish-orange in color
ambergris	a waxy substance from whales
ambiance	the mood of a place
ambidextrous	able to use both hands
ambience	the feeling of a place
ambient	surrounding and background
ambiguity	unclear or double meaning
ambiguous	having more than one meaning
ambiguously	in an unclear way
ambit	the scope of something
ambition	a strong desire to succeed
ambitious	eager to succeed or achieve
ambitiously	with strong desire to succeed
ambivalence	mixed feelings about something
ambivalent	having mixed feelings
amble	a slow, relaxed walk
ambler	one who walks slowly
ambo	a raised platform for speaking
ambrosia	a delicious, heavenly food
ambulance	a vehicle for sick people
ambulatory	able to walk around
ambush	a surprise attack
ameer	a muslim ruler or prince
amelia	missing a limb from birth
ameliorate	to make something better
amelioration	the act of improving something
amenable	willing to cooperate
amend	to improve a rule
amendatory	making a correction or change
amended	changed or corrected
amends	actions to make up for wrong
amenities	useful features or comforts
amenity	a pleasant, useful feature
amethyst	purple in color
amiable	friendly and pleasant
amiably	in a friendly way
amicable	friendly, without conflict
amicably	in a friendly way
amide	a type of chemical compound
amidships	toward a ship's middle
amigo	a close friend
amine	a type of chemical compound
amino	relating to a basic building block
aminotransferase	an enzyme that moves molecules
amiodarone	a heart rhythm medicine
amir	a muslim ruler or prince
amiss	wrong or out of place
amitriptyline	an antidepressant medicine
amity	friendly relations
ammo	bullets or shells for guns
ammonia	a strong-smelling gas or cleaner
ammonite	a fossil sea shell
ammonium	a chemical compound with nitrogen
ammunition	bullets or shells for weapons
amnesia	loss of memory
amnesiac	suffering memory loss
amnesty	an official pardon
amniotic	surrounding an unborn baby
amoeba	a tiny single-celled creature
amok	out of control and wild
amorous	showing strong romantic feelings
amorphous	without a clear shape
amortization	gradually paying off a debt
amour	a romantic love affair
amoxicillin	a common antibiotic medicine
amp	a unit of electric current
amperage	the strength of electric current
ampere	a unit of electric current
ampersand	the symbol meaning "and
amphetamine	a stimulant drug
amphibia	land-and-water animals
amphibian	living on land and water
amphibious	working on land and water
amphitheater	an open, round outdoor theater
amphitheatre	an open, round outdoor theater
amphora	an ancient tall jar
ampicillin	a common antibiotic medicine
ample	more than enough
amplification	the act of making louder
amplifier	a sound-loudening device
amplify	to make louder or stronger
amplitude	the size of a wave
amply	more than enough
ampoule	a small sealed medicine vial
amputate	to surgically remove a limb
amputation	surgical removal of a limb
amputee	a person missing a limb
amuck	out of control and wild
amulet	a lucky charm
amuse	to entertain or make laugh
amused	entertained or delighted
amusement	enjoyment or entertainment
amusing	funny and entertaining
amusingly	in a funny way
amygdala	a brain area handling fear
amyl	a chemical group of atoms
amylase	a starch-breaking enzyme
amyloid	a starch-like protein buildup
amyloidosis	a disease from protein buildup
ana	a collection of sayings
anabolic	building up body tissue
anachronism	something out of its time
anachronistic	from the wrong time period
anaconda	a large snake
anaemia	a lack of healthy blood cells
anaemic	lacking healthy blood cells
anaerobic	not needing oxygen
anaesthesia	loss of feeling from drugs
anaesthetic	causing loss of feeling
anaesthetist	a numbing-drug doctor
anagram	a rearranged-letter word
anagrams	words made by rearranging letters
anal	relating to the rear passage
analgesia	relief from pain
analgesic	relieving pain
analog	using continuous, non-digital signals
analogical	based on comparison
analogous	similar in some way
analogously	in a similar way
analogue	using continuous, non-digital signals
analogy	a comparison between things
analyse	to study something closely
analyser	a device that examines something
analyst	a person who studies data
analytic	using careful, logical study
analytical	using careful, logical study
analytically	in a careful, logical way
analyze	to study something closely
analyzed	closely studied or examined
analyzer	a device that examines something
anamorphic	distorted to look normal from an angle
anaphylactic	relating to severe allergic shock
anaphylaxis	a severe, sudden allergic reaction
anarchic	without order or control
anarchism	belief in no government
anarchist	one who opposes all government
anarchistic	favoring no government
anarchy	a lack of order
anastomosis	a surgical joining of tubes
anathema	something greatly disliked
anatomic	relating to body structure
anatomical	relating to body structure
anatomically	in terms of body structure
anatomist	an expert in body structure
anatomy	the study of body structure
ancestor	a past family member
ancestral	handed down from past family
ancestry	one's family origins
anchor	a ship-holding weight
anchorage	a place where ships anchor
anchorman	a main television news presenter
anchovy	a small, salty fish
anciently	from long ago
ancients	people from long ago
ancillary	extra and supporting
andante	at a moderately slow pace
andesite	a type of volcanic rock
androgen	a male hormone
androgenic	relating to male hormones
androgynous	having both male and female traits
androgyny	having male and female traits
andromeda	a nearby galaxy
ane	one, a single
anecdotal	based on personal stories
anecdote	a short, amusing true story
anemia	a lack of healthy blood cells
anemic	lacking healthy blood cells
anemone	a sea creature with tentacles
anesthesia	loss of feeling from drugs
anesthesiologist	a numbing-drug doctor
anesthesiology	the study of numbing drugs
anesthetic	causing loss of feeling
anesthetist	a numbing-drug doctor
aneurin	a vitamin, also called thiamine
aneurism	a dangerous vessel bulge
aneurysm	a dangerous vessel bulge
anew	once again, freshly
angelic	like an angel, pure
angelica	a fragrant garden plant
angelique	a type of stringed instrument
angelus	a bell rung for prayer
angered	made angry
angina	chest pain from poor blood flow
angiogenesis	growth of new blood vessels
angiogram	an image of blood vessels
angiography	imaging of blood vessels
angioplasty	a vessel-widening procedure
angiotensin	a blood-pressure-raising hormone
angled	set at a slant
angler	a person who fishes
angling	the sport of fishing
angostura	a bitter flavoring liquid
angrily	in an angry way
angst	a strong feeling of anxiety
anguish	severe mental or physical pain
anguished	full of severe pain
angular	having sharp corners
anhydride	a chemical compound without water
anhydrous	containing no water
ani	a type of black bird
anil	a blue dye plant
aniline	a chemical used in dyes
anima	a man's inner female side
animalistic	like an animal, instinctive
animate	alive and moving
animated	lively and full of energy
animating	giving life or movement to
animation	the making of moving pictures
animator	a person who creates animation
animatronics	robotic moving figures
anime	japanese animated films
animism	belief that objects have spirits
animist	believing objects have spirits
animosity	strong dislike or hostility
animus	strong dislike or hostility
anion	a negatively charged particle
anionic	relating to negative particles
anise	a licorice-flavored plant
aniseed	a licorice-flavored seed
anisotropic	different depending on direction
anisotropy	difference depending on direction
anjou	a variety of pear
ankle	the foot-leg joint
anklet	an ankle chain
anklets	chains worn around the ankle
annals	historical records kept yearly
annealing	heating metal to strengthen it
annex	an added extra building
annexation	the taking over of territory
annexe	an added extra building
annihilate	to destroy completely
annihilated	completely destroyed
annihilating	completely destroying
annihilation	total destruction
annihilator	one that destroys completely
annotate	to add explanatory notes
annotating	adding explanatory notes
annotation	an explanatory note
announce	to make something publicly known
announcer	a person who reads announcements
annoy	to irritate or bother
annoyance	something that irritates
annoyed	irritated or bothered
annoyingly	in an irritating way
annually	once every year
annuity	a yearly fixed payment
annul	to officially cancel
annular	shaped like a ring
annulment	official marriage cancelling
annulus	a ring-shaped object
annum	a year
annunciation	an official announcement
anode	a positive electrical terminal
anodyne	not likely to offend anyone
anoint	to rub with oil ceremonially
anointing	applying oil ceremonially
anomalous	different from what's normal
anomaly	something unusual or unexpected
anon	soon, shortly
anonymity	the state of being unnamed
anonymous	without a known name
anonymously	without giving one's name
anorak	a warm, hooded jacket
anorexia	an eating disorder
anorexic	suffering from an eating disorder
anoxic	lacking oxygen
answerable	responsible and accountable
answering	responding to a question
ant	a small crawling insect
antacid	relieving stomach acid
antagonism	strong hostility or opposition
antagonist	a rival or opponent
antagonistic	openly hostile or opposed
antagonize	to provoke hostility in someone
ante	a pre-game card bet
anteater	an animal that eats ants
antebellum	before a war
antecedent	something that came before
antechamber	a small room before a main room
antediluvian	extremely old-fashioned
antelope	a fast, horned grazing animal
antenatal	before a baby's birth
antenna	a device for receiving signals
anterior	located at the front
anteriorly	toward the front
anthem	a rousing song of loyalty
anther	a flower's pollen part
anthill	a mound built by ants
anthology	a collection of writings
